city,date,temperature_2m (°C),relative_humidity_2m (%),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),weather_condition
Ulhasnagar,2024-11-05,27.933333333333334,59.208333333333336,1010.2916666666666,6.1375,11.820833333333333,Cloudy
Ulhasnagar,2024-11-06,27.233333333333334,58.791666666666664,1010.9,6.820833333333333,13.362499999999999,Sunny
Ulhasnagar,2024-11-07,26.695833333333336,59.75,1010.8083333333334,6.154166666666666,11.424999999999999,Cloudy
Ulhasnagar,2024-11-08,27.304166666666664,56.458333333333336,1010.4666666666667,6.433333333333334,13.791666666666666,Sunny
Ulhasnagar,2024-11-09,26.829166666666666,56.75,1010.5791666666668,7.908333333333334,13.933333333333332,Cloudy
Ulhasnagar,2024-11-10,27.0,49.625,1010.6875,7.333333333333333,15.620833333333332,Sunny
Ulhasnagar,2024-11-11,26.770833333333332,56.083333333333336,1010.4708333333333,7.070833333333333,13.745833333333332,Cloudy
Ulhasnagar,2024-11-12,27.120833333333334,49.416666666666664,1009.4250000000001,7.054166666666667,13.504166666666668,Sunny
Ulhasnagar,2024-11-13,27.375,50.625,1008.3000000000001,6.208333333333333,11.079166666666666,Sunny
Ulhasnagar,2024-11-14,27.995833333333334,49.375,1009.6166666666667,6.095833333333334,10.316666666666666,Sunny
Ulhasnagar,2024-11-15,28.854166666666668,63.166666666666664,1010.1999999999999,4.854166666666667,8.237499999999999,Cloudy
Ulhasnagar,2024-11-16,28.979166666666668,63.291666666666664,1009.2208333333333,5.1625000000000005,8.691666666666666,Cloudy
Ulhasnagar,2024-11-17,28.816666666666666,56.958333333333336,1009.2166666666667,6.1375,10.9625,Cloudy
Ulhasnagar,2024-11-18,27.5,45.791666666666664,1010.4458333333333,7.0249999999999995,12.479166666666666,Sunny
Ulhasnagar,2024-11-19,26.008333333333336,49.958333333333336,1011.1916666666666,6.904166666666666,11.720833333333333,Sunny
Ulhasnagar,2024-11-20,25.320833333333336,49.958333333333336,1010.8958333333334,7.083333333333333,11.604166666666666,Cloudy
Ulhasnagar,2024-11-21,25.416666666666668,48.166666666666664,1010.6291666666666,5.370833333333334,9.4625,Sunny
Ulhasnagar,2024-11-22,25.695833333333336,49.875,1010.1416666666668,4.591666666666667,7.7375,Sunny
Ulhasnagar,2024-11-23,26.0125,55.583333333333336,1010.9958333333334,4.7875000000000005,8.625,Cloudy
Ulhasnagar,2024-11-24,25.883333333333336,56.541666666666664,1011.1166666666667,5.983333333333333,10.120833333333334,Cloudy
Ulhasnagar,2024-11-25,25.587500000000002,45.458333333333336,1010.7291666666666,6.75,12.0375,Sunny
Ulhasnagar,2024-11-26,25.179166666666664,42.083333333333336,1010.5,7.25,13.704166666666666,Sunny
Ulhasnagar,2024-11-27,25.15833333333333,40.041666666666664,1009.6958333333333,7.066666666666666,13.0625,Sunny
Ulhasnagar,2024-11-28,24.620833333333334,40.916666666666664,1010.0458333333332,8.299999999999999,14.966666666666667,Sunny
Ulhasnagar,2024-11-29,24.191666666666666,39.666666666666664,1009.85,5.745833333333334,10.733333333333334,Sunny
Ulhasnagar,2024-11-30,24.212500000000002,46.458333333333336,1008.4916666666667,6.3374999999999995,11.137500000000001,Sunny
Ulhasnagar,2024-12-01,25.8625,52.25,1006.3333333333334,6.516666666666667,11.579166666666666,Sunny
Ulhasnagar,2024-12-02,28.254166666666666,56.791666666666664,1006.6541666666667,5.4875,10.283333333333333,Sunny
Ulhasnagar,2024-12-03,29.816666666666666,58.333333333333336,1007.6875,6.870833333333334,12.454166666666666,Cloudy
Ulhasnagar,2024-12-04,29.9875,62.458333333333336,1008.8041666666667,4.520833333333333,7.2375,Cloudy
Ulhasnagar,2024-12-05,29.525000000000002,63.125,1009.4666666666667,5.204166666666667,8.8375,Cloudy
Ulhasnagar,2024-12-06,29.020833333333332,60.0,1009.2541666666666,6.591666666666668,11.633333333333333,Cloudy
Ulhasnagar,2024-12-07,26.754166666666666,51.958333333333336,1009.3666666666667,7.125,12.445833333333333,Sunny
Ulhasnagar,2024-12-08,24.175,48.875,1010.1458333333334,7.816666666666666,14.558333333333332,Sunny
Ulhasnagar,2024-12-09,23.441666666666666,45.166666666666664,1010.1374999999999,9.25,16.704166666666666,Sunny
Ulhasnagar,2024-12-10,25.391666666666666,52.291666666666664,1009.9416666666666,5.858333333333333,10.416666666666666,Sunny
Ulhasnagar,2024-12-11,25.8625,55.833333333333336,1010.1333333333333,6.5249999999999995,11.441666666666668,Cloudy
Ulhasnagar,2024-12-12,25.366666666666664,54.041666666666664,1010.3458333333333,7.266666666666667,13.079166666666666,Cloudy
Ulhasnagar,2024-12-13,25.108333333333334,45.416666666666664,1010.8291666666668,7.508333333333333,13.6875,Sunny
Ulhasnagar,2024-12-14,24.729166666666668,43.625,1011.8291666666668,7.3,12.833333333333334,Sunny
Ulhasnagar,2024-12-15,24.695833333333336,41.5,1012.3000000000001,6.4875,11.079166666666666,Sunny
Ulhasnagar,2024-12-16,23.6875,45.958333333333336,1011.1166666666667,5.820833333333333,9.754166666666666,Sunny
Ulhasnagar,2024-12-17,23.599999999999998,49.75,1010.125,5.841666666666666,10.029166666666667,Sunny
Ulhasnagar,2024-12-18,24.262500000000003,54.666666666666664,1009.2666666666668,5.370833333333334,9.045833333333333,Cloudy
Ulhasnagar,2024-12-19,23.833333333333332,62.708333333333336,1009.5166666666668,4.779166666666667,6.8125,Cloudy
Ulhasnagar,2024-12-20,23.6125,66.875,1009.4875000000001,4.233333333333333,6.004166666666666,Cloudy
